rollout/ep_rew_mean,rollout/exploration_rate,time/fps,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/loss,train/learning_rate
10.9,0.97272,1607,1000,0,1364,1.4,,,
10.3,0.9459200000000001,1705,2000,1,2704,1.42,,,
7.5,0.9195199999999999,1781,3000,2,4024,1.3,,,
6.7,0.8927799999999999,1855,4000,2,5361,1.3,,,
6.0,0.8662000000000001,1890,5000,3,6690,1.26,,,
11.9,0.83944,1903,6000,4,8028,1.48,,,
9.7,0.8130200000000001,1912,7000,4,9349,1.39,,,
7.2,0.7865800000000001,1935,8000,5,10671,1.32,,,
8.1,0.75912,1963,9000,6,12044,1.38,,,
7.5,0.73218,1981,10000,6,13391,1.32,,,
7.8,0.7056,1995,11000,7,14720,1.32,,,
7.5,0.6788000000000001,2000,12000,8,16060,1.36,,,
7.0,0.65194,1990,13000,8,17403,1.32,,,
7.2,0.6256999999999999,2000,14000,9,18715,1.32,,,
9.7,0.5990199999999999,2005,15000,9,20049,1.42,,,
7.3,0.5719400000000001,2013,16000,10,21403,1.32,,,
8.3,0.5449200000000001,2012,17000,11,22754,1.35,,,
9.6,0.5176400000000001,2018,18000,11,24118,1.42,,,
6.7,0.4902199999999999,2016,19000,12,25489,1.31,,,
7.7,0.46377999999999986,2017,20000,13,26811,1.34,,,
9.5,0.43733999999999984,2023,21000,13,28133,1.4,,,
6.2,0.41068000000000016,2025,22000,14,29466,1.27,,,
9.3,0.38481999999999994,2024,23000,15,30759,1.39,,,
6.4,0.35795999999999983,2029,24000,15,32102,1.28,,,
9.3,0.3309199999999999,2037,25000,16,33454,1.38,,,
7.6,0.3043,2041,26000,17,34785,1.32,,,
9.4,0.27781999999999996,2044,27000,17,36109,1.4,,,
10.0,0.25126000000000004,2054,28000,18,37437,1.42,,,
7.0,0.22489999999999988,2058,29000,18,38755,1.31,,,
7.6,0.19838,2056,30000,19,40081,1.32,,,
4.9,0.17220000000000013,2056,31000,20,41390,1.23,,,
10.2,0.14548000000000005,2056,32000,20,42726,1.39,,,
7.7,0.11872000000000016,2057,33000,21,44064,1.34,,,
11.3,0.09211999999999998,2061,34000,22,45394,1.46,,,
4.8,0.06525999999999987,2064,35000,22,46737,1.22,,,
8.3,0.037980000000000125,2066,36000,23,48101,1.31,,,
15.4,0.011079999999999979,2062,37000,23,49446,1.58,,,
6.6,0,2062,38000,24,50755,1.31,,,
8.3,0,2065,39000,25,52115,1.34,,,
9.3,0,2068,40000,25,53445,1.4,,,
7.5,0,2070,41000,26,54765,1.33,,,
6.9,0,2071,42000,27,56079,1.3,,,
10.7,0,2068,43000,27,57416,1.45,,,
11.2,0,2066,44000,28,58756,1.4,,,
12.6,0,2064,45000,29,60078,1.45,,,
5.1,0,2059,46000,29,61375,1.24,,,
6.1,0,2059,47000,30,62707,1.26,,,
7.0,0,2055,48000,31,64027,1.32,,,
9.6,0,2057,49000,31,65345,1.38,,,
5.3,0,2060,50000,32,66672,1.25,,,
6.2,0,2061,51000,32,67999,1.27,,,
6.2,0,2062,52000,33,69309,1.28,,,
5.5,0,2063,53000,34,70627,1.23,,,
6.6,0,2064,54000,34,71949,1.3,,,
10.2,0,2066,55000,35,73303,1.42,,,
5.6,0,2068,56000,36,74618,1.25,,,
7.4,0,2071,57000,36,75963,1.33,,,
6.3,0,2072,58000,37,77286,1.29,,,
8.9,0,2072,59000,37,78631,1.33,,,
8.3,0,2072,60000,38,79982,1.36,,,
90.0,0,1359,61000,61,83916,4.0,978,2.3833963871002197,0.001
90.0,0,1109,62000,79,87916,4.0,1978,3.4497461318969727,0.001
