rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/fps,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss
1.39,0,1332,9.3,1000,1516,0.97336,,,
1.45,1,2669,11.0,2000,1726,0.94662,,,
1.3,2,4019,7.0,3000,1827,0.9196200000000001,,,
1.29,2,5318,6.7,4000,1880,0.89364,,,
1.23,3,6629,5.0,5000,1905,0.8674200000000001,,,
1.41,4,7989,10.3,6000,1930,0.84022,,,
1.19,4,9299,4.0,7000,1941,0.81402,,,
1.44,5,10675,11.0,8000,1962,0.7865,,,
1.31,6,11982,6.8,9000,1980,0.7603599999999999,,,
1.38,6,13328,9.1,10000,1985,0.7334399999999999,,,
1.36,7,14657,8.1,11000,1969,0.70686,,,
1.34,8,16003,7.9,12000,1978,0.67994,,,
1.25,8,17371,6.1,13000,1982,0.6525799999999999,,,
1.29,9,18711,6.6,14000,1989,0.62578,,,
1.24,10,20060,5.2,15000,1990,0.5988,,,
1.29,10,21398,6.7,16000,1990,0.5720399999999999,,,
1.33,11,22710,7.7,17000,1989,0.5458000000000001,,,
1.33,12,24044,6.9,18000,1995,0.51912,,,
1.31,12,25354,8.2,19000,1999,0.49292,,,
1.35,13,26672,8.9,20000,2003,0.46655999999999986,,,
1.27,13,28003,6.3,21000,2004,0.43994,,,
1.35,14,29358,8.9,22000,2007,0.4128400000000001,,,
1.4,15,30715,9.2,23000,2000,0.38569999999999993,,,
1.23,16,32044,4.9,24000,2002,0.3591199999999999,,,
1.29,16,33376,6.6,25000,2008,0.3324799999999999,,,
1.45,17,34704,10.6,26000,2011,0.30591999999999997,,,
1.41,17,36015,10.2,27000,2022,0.27970000000000006,,,
1.43,18,37376,10.3,28000,2033,0.25248000000000004,,,
1.35,19,38721,8.2,29000,2034,0.2255799999999999,,,
1.35,19,40105,8.3,30000,2033,0.19789999999999996,,,
1.38,20,41440,8.2,31000,2034,0.17120000000000002,,,
1.38,21,42786,8.6,32000,2036,0.14427999999999996,,,
1.3,21,44107,6.6,33000,2036,0.11785999999999985,,,
1.32,22,45403,7.3,34000,2039,0.09194000000000013,,,
1.35,22,46747,8.2,35000,2040,0.0650599999999999,,,
1.26,23,48057,6.2,36000,2038,0.03886000000000012,,,
1.26,24,49353,6.2,37000,2039,0.012939999999999952,,,
1.29,24,50698,6.8,38000,2039,0,,,
1.42,25,52058,10.5,39000,2040,0,,,
1.37,26,53401,10.0,40000,2041,0,,,
1.39,26,54724,9.4,41000,2048,0,,,
1.29,27,56046,6.4,42000,2047,0,,,
1.48,27,57393,10.9,43000,2054,0,,,
1.38,28,58716,9.2,44000,2052,0,,,
1.34,29,60026,8.3,45000,2052,0,,,
1.38,29,61401,9.3,46000,2052,0,,,
1.37,30,62738,8.3,47000,2052,0,,,
1.46,31,64071,10.9,48000,2051,0,,,
1.23,31,65357,5.2,49000,2053,0,,,
1.23,32,66676,5.3,50000,2055,0,,,
1.38,33,68001,8.8,51000,2058,0,,,
1.31,33,69342,6.5,52000,2059,0,,,
1.3,34,70711,7.2,53000,2059,0,,,
1.39,35,72049,8.6,54000,2058,0,,,
1.45,35,73396,10.8,55000,2061,0,,,
1.38,36,74705,9.0,56000,2062,0,,,
1.29,36,76024,6.4,57000,2056,0,,,
1.48,37,77383,11.5,58000,2055,0,,,
1.4,38,78727,8.8,59000,2052,0,,,
2.74,41,80212,51.0,60000,1951,0,0.0001,52,4.861685752868652
4.0,62,84212,90.0,61000,1352,0,0.0001,1052,2.884277582168579
4.0,81,88212,90.0,62000,1085,0,0.0001,2052,12.98546314239502
4.0,97,92212,90.0,63000,940,0,0.0001,3052,10.521145820617676
4.0,133,96212,90.0,64000,722,0,0.0001,4052,10.692190170288086
