rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/learning_rate,train/n_updates
1.29,0.9822813333333333,0.36,10000,95,138,13289,,,
1.38,0.9643280000000001,0.56,20000,97,275,26754,,,
1.37,0.9465746666666666,0.49,30000,98,407,40069,,,
1.34,0.9288706666666666,0.44,40000,97,546,53347,,,
1.41,0.911092,0.5,50000,97,685,66681,,,
1.46,0.8932800000000001,0.74,60000,97,823,80040,,,
1.37,0.8753773333333332,0.49,70000,97,960,93467,,,
1.35,0.8573853333333332,0.46,80000,97,1098,106961,,,
1.4,0.8395573333333333,0.6,90000,97,1238,120332,,,
1.32,0.8217453333333333,0.38,100000,97,1377,133691,,,
1.24,0.8040746666666667,0.26,110000,96,1515,146944,,,
1.34,0.7864053333333334,0.58,120000,96,1652,160196,,,
1.37,0.7686853333333334,0.59,130000,96,1791,173486,,,
1.33,0.7509106666666667,0.53,140000,96,1929,186817,,,
1.31,0.7331946666666667,0.6,150000,96,2066,200104,,,
1.32,0.7154320000000001,0.4,160000,96,2205,213426,,,
1.32,0.6977533333333334,0.48,170000,96,2343,226685,,,
1.38,0.680024,0.46,180000,96,2481,239982,,,
2.03,0.66096,2.04,190000,95,2661,254280,0.49284982681274414,0.001,1069
2.09,0.6353759999999999,1.95,200000,91,2981,273468,0.10245860368013382,0.001,5866
1.91,0.6082493333333332,1.89,210000,88,3310,293813,0.8111081123352051,0.001,10953
2.14,0.5792200000000001,2.49,220000,86,3652,315585,0.7949677109718323,0.001,16396
2.38,0.5488253333333333,3.22,230000,84,4003,338381,1.2714107036590576,0.001,22095
2.38,0.5155173333333334,3.49,240000,83,4373,363362,2.2977945804595947,0.001,28340
2.96,0.48007466666666665,7.68,250000,81,4756,389944,2.647594928741455,0.001,34985
3.05,0.4423933333333334,6.4,260000,81,5158,418205,4.4250922203063965,0.001,42051
3.49,0.4014093333333333,8.93,270000,80,5579,448943,11.057682037353516,0.001,49735
4.03,0.35607599999999984,11.58,280000,80,6030,482943,5.723048210144043,0.001,58235
3.36,0.30434266666666665,7.95,290000,79,6529,521743,28.20098876953125,0.001,67935
4.46,0.24281066666666673,17.16,300000,80,7094,567892,42.334693908691406,0.001,79472
6.26,0.1682906666666666,36.33,310000,80,7743,623782,49.227447509765625,0.001,93445
13.68,0.0435106666666667,224.82,320000,81,8760,717367,62.857269287109375,0.001,116841
96.08,0,4761.16,330000,30,39289,1202258,47.97705078125,0.001,238064
