time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,rollout/ep_rew_mean,time/fps,train/n_updates,train/learning_rate,train/loss
10000,1.25,13273,155,0.9823026666666668,0.29,85,,,
20000,1.33,26705,313,0.9643933333333334,0.45,85,,,
30000,1.36,40026,469,0.9466319999999999,0.56,85,,,
40000,1.4,53407,621,0.9287906666666668,0.51,85,,,
50000,1.36,66695,777,0.9110733333333334,0.44,85,,,
60000,1.39,80140,933,0.8931466666666668,0.56,85,,,
70000,1.4,93551,1089,0.8752653333333333,0.48,85,,,
80000,1.43,106915,2833,0.8574466666666667,0.61,37,,,
90000,1.28,120364,2990,0.8395146666666666,0.33,40,,,
100000,1.29,133605,3147,0.82186,0.46,42,,,
110000,1.34,146922,3303,0.8041039999999999,0.39,44,,,
120000,1.23,160202,3459,0.7863973333333334,0.27,46,,,
130000,1.41,173585,3616,0.7685533333333334,0.5,47,,,
140000,1.44,187057,3773,0.7505906666666666,0.6,49,,,
150000,1.4,200428,3929,0.7327626666666667,0.56,51,,,
160000,1.3,213746,4085,0.7150053333333333,0.37,52,,,
170000,1.35,227113,4242,0.6971826666666667,0.46,53,,,
180000,1.5,240386,4398,0.6794853333333333,0.8,54,,,
190000,1.83,254877,4603,0.660164,1.55,55,1219,0.001,0.4773826599121094
200000,2.13,274616,4966,0.6338453333333334,2.34,55,6153,0.001,0.5964896082878113
210000,2.28,295829,5342,0.6055613333333334,2.52,55,11457,0.001,0.9222242832183838
220000,2.34,317705,5724,0.5763933333333333,3.0,55,16926,0.001,0.765184223651886
230000,2.47,340588,6110,0.5458826666666667,3.36,55,22646,0.001,1.1705358028411865
240000,2.76,364914,7470,0.5134479999999999,4.05,48,28728,0.001,1.586729884147644
250000,2.82,390724,7898,0.4790346666666667,4.37,49,35180,0.001,1.5190120935440063
260000,2.47,418551,9764,0.441932,3.43,42,42137,0.001,1.0434963703155518
270000,3.37,448929,10241,0.4014280000000001,7.06,43,49732,0.001,1.5532642602920532
280000,3.54,482200,11288,0.35706666666666664,7.86,42,58049,0.001,3.706648111343384
290000,4.13,519022,11830,0.3079706666666666,12.01,43,67255,0.001,3.2571816444396973
300000,4.3,560076,12884,0.2532320000000001,12.1,43,77518,0.001,4.877800941467285
310000,6.01,610652,33934,0.18579733333333337,22.29,17,90162,0.001,5.6463518142700195
320000,8.55,680898,34823,0.092136,46.35,19,107724,0.001,4.110709190368652
330000,13.42,793684,39796,0,118.2,19,135920,0.001,20.550704956054688
340000,5.21,928794,41358,0,19.49,22,169698,0.001,54.43934631347656
350000,10.89,1037472,42653,0,169.48,24,196867,0.001,30.676769256591797
360000,8.24,1137011,43845,0,57.22,25,221752,0.001,86.96442413330078
370000,12.83,1296062,45640,0,91.36,28,261515,0.001,494.5987243652344
380000,11.06,1435862,47275,0,87.84,30,296465,0.001,403.59808349609375
