time/episodes,rollout/ep_rew_mean,rollout/exploration_rate,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/loss,train/learning_rate
10000,0.33,0.973516,79,13242,1.31,167,,,
20000,0.27,0.9469639999999999,80,26518,1.24,330,,,
30000,0.46,0.920258,80,39871,1.31,496,,,
40000,0.44,0.893624,80,53188,1.36,660,,,
50000,0.58,0.867086,80,66457,1.35,826,,,
60000,0.29,0.840382,80,79809,1.25,991,,,
70000,0.46,0.8135080000000001,80,93246,1.3,1158,,,
80000,0.91,0.7841499999999999,78,107925,1.59,1382,1981,0.37624800205230713,0.001
90000,1.45,0.7500499999999999,75,124975,1.85,1651,6243,0.2178674042224884,0.001
100000,1.51,0.714064,74,142968,1.88,1925,10741,0.24439170956611633,0.001
110000,2.02,0.67679,73,161605,2.03,2199,15401,1.141803503036499,0.001
120000,2.04,0.6374420000000001,72,181279,2.0,2490,20319,0.8870556950569153,0.001
130000,1.98,0.59534,72,202330,2.01,2788,25582,1.2219245433807373,0.001
140000,2.8,0.5498540000000001,72,225073,2.21,3095,31268,1.4200897216796875,0.001
150000,3.28,0.50011,36,249945,2.52,6813,37486,1.9949588775634766,0.001
160000,5.13,0.44593799999999995,38,277031,2.96,7148,44257,3.256279706954956,0.001
170000,4.86,0.3851040000000001,40,307448,2.94,7499,51861,3.629823684692383,0.001
180000,10.65,0.31334799999999996,43,343326,3.83,7871,60831,6.43269681930542,0.001
190000,20.57,0.2207300000000001,46,389635,5.25,8309,72408,11.462973594665527,0.001
200000,92.47,0.07532000000000005,51,462340,9.2,8916,90584,47.23594665527344,0.001
210000,246.3,0,59,580561,14.57,9832,120140,192.33966064453125,0.001
220000,581.34,0,71,827706,29.17,11572,181926,139.498291015625,0.001
