time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,time/total_timesteps,train/loss,train/learning_rate,train/n_updates
1000,81,0.74,1.32,15,0.9948520000000001,1287,,,
2000,83,0.43,1.19,31,0.9895,2625,,,
3000,84,0.81,1.34,46,0.9840679999999999,3983,,,
4000,85,0.75,1.32,62,0.978704,5324,,,
5000,85,0.8,1.34,77,0.9733400000000001,6665,,,
6000,85,0.35,1.17,93,0.9680279999999999,7993,,,
7000,85,0.64,1.28,108,0.9626999999999999,9325,,,
8000,85,1.09,1.42,124,0.9573,10675,,,
9000,85,0.57,1.22,140,0.9519679999999999,12008,,,
10000,85,0.76,1.32,155,0.9466559999999999,13336,,,
11000,85,0.63,1.29,171,0.9413039999999999,14674,,,
12000,85,0.98,1.42,186,0.9358759999999999,16031,,,
13000,85,0.76,1.31,204,0.9304760000000001,17381,,,
14000,84,0.44,1.2,221,0.925208,18698,,,
15000,83,0.9,1.38,238,0.9199600000000001,20010,,,
16000,83,0.63,1.28,255,0.914628,21343,,,
17000,83,0.67,1.31,272,0.9092480000000001,22688,,,
18000,83,0.8,1.35,288,0.903912,24022,,,
19000,83,0.9,1.38,303,0.8984239999999999,25394,,,
20000,83,0.7,1.31,319,0.893084,26729,,,
21000,83,0.88,1.37,334,0.88778,28055,,,
22000,83,0.63,1.28,350,0.8824080000000001,29398,,,
23000,83,0.89,1.38,366,0.8770880000000001,30728,,,
24000,83,0.53,1.24,382,0.871872,32032,,,
25000,83,0.75,1.31,398,0.866468,33383,,,
26000,83,0.63,1.28,414,0.861124,34719,,,
27000,83,0.79,1.35,429,0.855696,36076,,,
28000,83,0.71,1.3,445,0.85026,37435,,,
29000,84,0.87,1.38,461,0.8449599999999999,38760,,,
30000,83,0.86,1.37,477,0.8397239999999999,40069,,,
31000,84,0.97,1.38,492,0.834416,41396,,,
32000,84,0.88,1.37,508,0.82908,42730,,,
33000,84,0.87,1.37,524,0.8235760000000001,44106,,,
34000,84,0.56,1.26,539,0.8182320000000001,45442,,,
35000,84,0.72,1.33,555,0.8128440000000001,46789,,,
36000,84,0.92,1.41,571,0.8076760000000001,48081,,,
37000,84,0.77,1.32,586,0.8022879999999999,49428,,,
38000,83,1.15,1.42,605,0.796956,50761,5.588359355926514,0.001,190
39000,83,1.42,1.57,625,0.791064,52234,0.45537322759628296,0.001,558
40000,83,1.14,1.47,645,0.78532,53670,0.5832744836807251,0.001,917
41000,82,1.0,1.42,665,0.7793000000000001,55175,0.9102185964584351,0.001,1293
42000,82,1.45,1.54,686,0.773436,56641,0.5859001874923706,0.001,1660
43000,82,1.33,1.54,707,0.767452,58137,0.49315547943115234,0.001,2034
44000,82,1.97,1.68,727,0.761072,59732,0.5782719850540161,0.001,2432
45000,81,1.72,1.63,748,0.754608,61348,0.44918790459632874,0.001,2836
46000,81,2.21,1.78,769,0.747744,63064,0.33556899428367615,0.001,3265
47000,81,1.85,1.69,791,0.7408760000000001,64781,0.6261747479438782,0.001,3695
48000,81,1.41,1.54,811,0.734264,66434,0.7838952541351318,0.001,4108
49000,81,1.89,1.72,832,0.727276,68181,0.6356398463249207,0.001,4545
50000,81,2.1,1.77,853,0.720472,69882,0.36360055208206177,0.001,4970
51000,81,1.82,1.73,874,0.7136279999999999,71593,0.4157324433326721,0.001,5398
52000,81,2.01,1.71,895,0.7068559999999999,73286,0.5695468187332153,0.001,5821
53000,81,1.7,1.66,917,0.6999839999999999,75004,0.4384492337703705,0.001,6250
54000,81,1.47,1.61,939,0.692904,76774,0.5079817175865173,0.001,6693
55000,81,2.42,1.8,960,0.6857679999999999,78558,0.8439471125602722,0.001,7139
56000,81,2.79,2.0,982,0.678536,80366,0.3913387954235077,0.001,7591
57000,81,1.41,1.52,1005,0.671492,82127,0.435078889131546,0.001,8031
58000,81,2.56,1.89,1027,0.6642600000000001,83935,0.8373804688453674,0.001,8483
59000,81,2.8,2.02,1049,0.656644,85839,0.9996740818023682,0.001,8959
60000,81,2.44,1.88,1070,0.6492040000000001,87699,1.0827643871307373,0.001,9424
61000,81,2.21,1.83,1092,0.641972,89507,0.46237802505493164,0.001,9876
62000,81,2.02,1.77,1114,0.634652,91337,0.5380759239196777,0.001,10334
63000,82,2.74,2.0,1136,0.626932,93267,0.6037983894348145,0.001,10816
64000,82,1.82,1.67,1158,0.619588,95103,0.6055228114128113,0.001,11275
65000,82,3.25,2.03,1180,0.611812,97047,0.7542828321456909,0.001,11761
66000,82,2.84,1.96,1203,0.6040000000000001,99000,0.5236456990242004,0.001,12249
67000,82,2.33,1.83,1224,0.5962399999999999,100940,0.6155588626861572,0.001,12734
68000,82,2.0,1.81,1246,0.588452,102887,1.3995938301086426,0.001,13221
69000,82,2.71,1.95,1268,0.580452,104887,0.7612883448600769,0.001,13721
70000,82,3.11,2.05,1290,0.572584,106854,1.4286285638809204,0.001,14213
71000,82,3.1,2.05,1315,0.564384,108904,1.1761709451675415,0.001,14725
72000,82,3.26,2.09,1337,0.5563880000000001,110903,1.380344271659851,0.001,15225
73000,82,2.57,1.95,1361,0.5481720000000001,112957,1.1958192586898804,0.001,15739
74000,83,2.38,1.92,1384,0.539636,115091,1.227213978767395,0.001,16272
75000,83,3.56,2.18,1406,0.53114,117215,0.7644829154014587,0.001,16803
76000,83,4.56,2.51,1430,0.5223040000000001,119424,1.0094162225723267,0.001,17355
77000,83,3.3,2.11,1453,0.5138,121550,1.1997745037078857,0.001,17887
78000,83,2.72,1.99,1475,0.50522,123695,1.0897032022476196,0.001,18423
79000,84,3.02,2.02,1497,0.49660800000000016,125848,1.388106107711792,0.001,18961
80000,84,3.17,2.04,1519,0.4878,128050,1.3646440505981445,0.001,19512
81000,84,3.35,2.16,1542,0.4791080000000001,130223,1.089191198348999,0.001,20055
82000,84,3.66,2.24,1565,0.469816,132546,1.7509082555770874,0.001,20636
83000,84,4.48,2.51,1589,0.460372,134907,1.5350854396820068,0.001,21226
84000,85,3.91,2.21,1612,0.451028,137243,1.2208701372146606,0.001,21810
85000,85,4.06,2.38,1636,0.44167599999999996,139581,1.4012866020202637,0.001,22395
86000,85,3.83,2.22,1660,0.4323760000000001,141906,1.2156039476394653,0.001,22976
87000,85,4.68,2.47,1685,0.42247199999999996,144382,1.7737276554107666,0.001,23595
88000,85,5.59,2.63,1709,0.412512,146872,2.3728559017181396,0.001,24217
89000,86,3.36,2.13,1732,0.4029400000000001,149265,1.5962262153625488,0.001,24816
90000,86,6.29,2.81,1757,0.39280800000000005,151798,1.346707820892334,0.001,25449
91000,86,6.26,2.78,1782,0.38206799999999985,154483,1.5943421125411987,0.001,26120
92000,86,4.17,2.35,1807,0.37172000000000005,157070,2.550398588180542,0.001,26767
93000,87,4.82,2.53,1832,0.36130799999999996,159673,2.0815353393554688,0.001,27418
94000,87,6.43,2.92,1856,0.3508279999999999,162293,2.0425519943237305,0.001,28073
95000,87,4.97,2.41,1881,0.33992,165020,1.6914654970169067,0.001,28754
96000,87,3.72,2.22,1906,0.3290280000000001,167743,2.0790579319000244,0.001,29435
97000,88,6.51,2.82,1931,0.3176399999999999,170590,2.374162197113037,0.001,30147
98000,88,7.85,3.19,1956,0.30610399999999993,173474,2.133208990097046,0.001,30868
99000,88,6.34,2.8,1982,0.29474,176315,1.9969857931137085,0.001,31578
100000,89,7.13,3.0,2007,0.2825120000000001,179372,2.2902486324310303,0.001,32342
101000,89,7.11,3.01,2034,0.269852,182537,2.169062614440918,0.001,33134
102000,90,5.85,2.75,2060,0.25758800000000015,185603,3.1300134658813477,0.001,33900
103000,90,8.41,3.33,2087,0.24449600000000005,188876,2.137382745742798,0.001,34718
104000,90,10.18,3.49,2113,0.23119999999999985,192200,3.3773484230041504,0.001,35549
105000,91,10.34,3.71,2140,0.21785200000000016,195537,1.831385850906372,0.001,36384
106000,91,8.34,3.18,2167,0.20438,198905,3.3421707153320312,0.001,37226
107000,92,10.14,3.45,2196,0.19040400000000002,202399,1.640434741973877,0.001,38099
108000,92,8.82,3.25,2224,0.17500800000000005,206248,2.8284106254577637,0.001,39061
109000,93,12.34,3.9,2252,0.15943200000000002,210142,2.429778575897217,0.001,40035
110000,93,13.78,3.98,2280,0.14380400000000004,214049,4.162945747375488,0.001,41012
111000,94,16.27,4.39,2310,0.12619999999999987,218450,3.373591184616089,0.001,42112
112000,95,22.2,5.16,2340,0.10732399999999997,223169,3.6379284858703613,0.001,43292
113000,96,23.4,5.45,2371,0.08772800000000003,228068,4.114988327026367,0.001,44516
114000,97,21.46,5.02,2404,0.06640000000000001,233400,3.771972894668579,0.001,45849
115000,98,28.13,5.99,2437,0.043400000000000105,239150,3.925205945968628,0.001,47287
116000,99,34.59,6.48,2473,0.01795599999999986,245511,4.565489292144775,0.001,48877
117000,100,46.21,7.52,2509,0,252298,5.432560443878174,0.001,50574
118000,101,36.92,6.77,2544,0,259101,4.682703018188477,0.001,52275
119000,102,33.23,6.57,2580,0,265801,5.899181842803955,0.001,53950
120000,104,29.31,6.01,2616,0,272748,7.097175121307373,0.001,55686
121000,105,40.57,6.94,2652,0,279515,6.652121543884277,0.001,57378
122000,106,32.96,6.49,2687,0,286110,8.473621368408203,0.001,59027
123000,107,43.13,7.41,2724,0,293000,8.711155891418457,0.001,60749
124000,108,36.56,6.98,2758,0,299759,9.628859519958496,0.001,62439
125000,109,33.95,6.53,2793,0,306130,8.604808807373047,0.001,64032
126000,110,32.71,6.45,2832,0,313173,10.1845121383667,0.001,65793
127000,111,34.58,6.61,2867,0,319847,7.264790058135986,0.001,67461
128000,112,29.17,6.19,2903,0,326450,10.234068870544434,0.001,69112
129000,113,26.72,5.79,2936,0,332626,8.789077758789062,0.001,70656
130000,113,5.74,2.69,2967,0,337070,13.16964340209961,0.001,71767
131000,113,6.69,2.86,2991,0,339530,18.668476104736328,0.001,72382
132000,113,5.06,2.54,3015,0,341868,19.415874481201172,0.001,72966
133000,113,4.56,2.31,3039,0,344276,22.81193733215332,0.001,73568
134000,113,4.74,2.4,3063,0,346717,25.200138092041016,0.001,74179
135000,113,5.32,2.47,3087,0,349187,38.956390380859375,0.001,74796
136000,113,3.27,2.12,3111,0,351620,23.287071228027344,0.001,75404
137000,112,4.18,2.21,3135,0,354110,23.590042114257812,0.001,76027
138000,112,8.46,3.25,3161,0,357097,22.0178279876709,0.001,76774
139000,113,10.58,3.15,3191,0,361374,16.42572021484375,0.001,77843
140000,113,4.93,2.15,3214,0,363843,21.39229965209961,0.001,78460
141000,112,2.5,1.63,3236,0,365620,14.595843315124512,0.001,78904
142000,112,1.76,1.53,3257,0,367295,17.580856323242188,0.001,79323
143000,112,2.41,1.67,3278,0,368898,14.160782814025879,0.001,79724
144000,112,1.25,1.46,3299,0,370411,23.366113662719727,0.001,80102
145000,111,0.71,1.32,3320,0,371858,17.443016052246094,0.001,80464
146000,111,1.98,1.57,3341,0,373327,16.018857955932617,0.001,80831
147000,111,1.02,1.42,3362,0,374822,20.564987182617188,0.001,81205
