time/fps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,train/loss,train/learning_rate,train/n_updates
80,0.9947999999999999,0.54,1.25,16,1000,1300,,,
82,0.9895160000000001,0.67,1.31,31,2000,2621,,,
81,0.9843679999999999,0.53,1.23,47,3000,3908,,,
82,0.9789680000000001,0.67,1.3,63,4000,5258,,,
82,0.9738439999999999,0.78,1.32,79,5000,6539,,,
83,0.9684999999999999,0.71,1.34,94,6000,7875,,,
83,0.963336,0.63,1.27,110,7000,9166,,,
83,0.9580679999999999,0.84,1.37,126,8000,10483,,,
83,0.952704,0.54,1.25,141,9000,11824,,,
83,0.9472719999999999,0.78,1.31,157,10000,13182,,,
83,0.942064,0.63,1.29,173,11000,14484,,,
83,0.9366680000000001,0.69,1.31,188,12000,15833,,,
83,0.931368,0.74,1.33,204,13000,17158,,,
83,0.9259759999999999,0.68,1.31,221,14000,18506,,,
83,0.9207399999999999,0.85,1.34,236,15000,19815,,,
83,0.9154960000000001,1.03,1.45,253,16000,21126,,,
83,0.910172,0.85,1.35,269,17000,22457,,,
83,0.9049800000000001,0.69,1.3,285,18000,23755,,,
83,0.8996040000000001,0.79,1.35,300,19000,25099,,,
83,0.894352,0.64,1.3,316,20000,26412,,,
83,0.888992,0.63,1.29,332,21000,27752,,,
83,0.8836280000000001,0.64,1.27,349,22000,29093,,,
83,0.8782840000000001,0.82,1.36,366,23000,30429,,,
83,0.873068,0.78,1.33,381,24000,31733,,,
83,0.867696,0.84,1.34,398,25000,33076,,,
82,0.8623719999999999,0.81,1.35,414,26000,34407,,,
82,0.856976,0.69,1.3,431,27000,35756,,,
82,0.8517520000000001,0.5,1.23,447,28000,37062,,,
82,0.846392,0.68,1.29,463,29000,38402,,,
82,0.8409599999999999,0.7,1.31,479,30000,39760,,,
82,0.835656,0.61,1.26,496,31000,41086,,,
82,0.83036,0.69,1.32,512,32000,42410,,,
82,0.824972,1.01,1.36,530,33000,43757,,,
82,0.819696,0.74,1.32,547,34000,45076,,,
82,0.81436,0.92,1.39,562,35000,46410,,,
82,0.8091599999999999,0.55,1.25,578,36000,47710,,,
82,0.80386,0.94,1.42,597,37000,49035,,,
81,0.798608,0.63,1.27,615,38000,50348,7.502615928649902,0.001,86
80,0.7929360000000001,1.05,1.44,641,39000,51766,0.89300537109375,0.001,441
79,0.7866839999999999,1.37,1.53,667,40000,53329,0.7631679773330688,0.001,832
79,0.7803,1.5,1.57,692,41000,54925,0.6264240145683289,0.001,1231
78,0.773928,1.7,1.61,718,42000,56518,0.44823628664016724,0.001,1629
78,0.767336,1.52,1.61,744,43000,58166,0.713435709476471,0.001,2041
77,0.7607919999999999,1.76,1.69,771,44000,59802,0.5912154316902161,0.001,2450
77,0.7542119999999999,1.96,1.76,797,45000,61447,0.41076740622520447,0.001,2861
76,0.7474639999999999,1.6,1.64,823,46000,63134,0.409679114818573,0.001,3283
76,0.740704,1.76,1.68,849,47000,64824,0.5542798638343811,0.001,3705
75,0.7339959999999999,1.79,1.73,875,48000,66501,0.759060263633728,0.001,4125
75,0.7270840000000001,2.82,1.99,901,49000,68229,0.6038365960121155,0.001,4557
75,0.7199200000000001,2.46,1.85,928,50000,70020,0.47591251134872437,0.001,5004
75,0.71298,1.71,1.63,954,51000,71755,0.48544541001319885,0.001,5438
74,0.7060919999999999,1.9,1.75,980,52000,73477,0.4924180805683136,0.001,5869
74,0.69906,2.98,1.99,1007,53000,75235,0.6414468288421631,0.001,6308
74,0.692064,1.94,1.71,1033,54000,76984,0.4384269416332245,0.001,6745
74,0.684788,2.81,1.99,1062,55000,78803,0.47250792384147644,0.001,7200
74,0.6771199999999999,2.72,1.95,1088,56000,80720,0.6304405331611633,0.001,7679
74,0.669808,2.48,1.93,1114,57000,82548,0.5972065925598145,0.001,8136
73,0.6621239999999999,3.52,2.2,1141,58000,84469,0.46792328357696533,0.001,8617
74,0.653912,3.43,2.13,1169,59000,86522,0.7838401794433594,0.001,9130
73,0.6457200000000001,3.4,2.16,1197,60000,88570,0.4806230664253235,0.001,9642
73,0.637424,2.94,2.05,1225,61000,90644,0.6830991506576538,0.001,10160
74,0.629316,2.2,1.85,1252,62000,92671,0.7118842601776123,0.001,10667
74,0.621056,3.99,2.21,1279,63000,94736,0.9919111728668213,0.001,11183
74,0.612852,3.45,2.07,1307,64000,96787,0.5932644009590149,0.001,11696
74,0.6044480000000001,3.08,2.06,1334,65000,98888,0.46953773498535156,0.001,12221
