rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,time/fps,time/episodes,time/time_elapsed,time/total_timesteps,train/loss,train/n_updates,train/learning_rate
1.35,0.994616,0.79,83,1000,16,1346,,,
1.46,0.9892920000000001,1.26,84,2000,31,2677,,,
1.46,0.983868,1.08,85,3000,47,4033,,,
1.31,0.97864,0.71,84,4000,62,5340,,,
1.27,0.9733639999999999,0.61,84,5000,78,6659,,,
1.31,0.968172,0.7,84,6000,94,7957,,,
1.21,0.962896,0.45,84,7000,110,9276,,,
1.3,0.9575119999999999,0.69,84,8000,125,10622,,,
1.44,0.952204,1.17,84,9000,141,11949,,,
1.29,0.946836,0.68,84,10000,157,13291,,,
1.39,0.941532,0.9,84,11000,172,14617,,,
1.26,0.9362999999999999,0.59,84,12000,188,15925,,,
1.37,0.9308479999999999,0.87,84,13000,204,17288,,,
1.48,0.9252480000000001,1.17,84,14000,219,18688,,,
1.36,0.9198,0.79,85,15000,235,20050,,,
1.32,0.914404,0.87,85,16000,251,21399,,,
1.38,0.9090879999999999,0.9,84,17000,267,22728,,,
1.33,0.903664,0.81,85,18000,282,24084,,,
1.39,0.89846,0.89,85,19000,298,25385,,,
1.24,0.8930880000000001,0.58,85,20000,313,26728,,,
1.28,0.8878360000000001,0.64,85,21000,328,28041,,,
1.37,0.8824799999999999,0.85,85,22000,344,29380,,,
1.26,0.87714,0.54,85,23000,360,30715,,,
1.43,0.871748,1.1,85,24000,375,32063,,,
1.35,0.866476,0.76,85,25000,391,33381,,,
1.32,0.8611960000000001,0.7,85,26000,407,34701,,,
1.41,0.855872,0.93,85,27000,423,36032,,,
1.23,0.8505400000000001,0.49,85,28000,438,37365,,,
1.34,0.8451519999999999,0.78,85,29000,454,38712,,,
1.33,0.839812,0.79,85,30000,470,40047,,,
1.35,0.8342959999999999,0.78,85,31000,485,41426,,,
1.35,0.8286959999999999,0.85,85,32000,500,42826,,,
1.37,0.823332,0.88,85,33000,516,44167,,,
1.2,0.818068,0.41,85,34000,532,45483,,,
1.33,0.8127,0.78,85,35000,548,46825,,,
1.4,0.8073680000000001,0.93,85,36000,563,48158,,,
1.34,0.8021799999999999,0.81,85,37000,579,49455,,,
1.58,0.7964960000000001,1.63,84,38000,599,50876,1.1162497997283936,218,0.001
1.54,0.790384,1.31,83,39000,624,52404,0.8440220355987549,600,0.001
1.51,0.78424,1.24,83,40000,649,53940,0.6144589781761169,984,0.001
1.72,0.7779560000000001,2.07,82,41000,673,55511,0.7584043741226196,1377,0.001
1.56,0.771776,1.52,81,42000,698,57056,0.6464729309082031,1763,0.001
1.47,0.765428,1.19,81,43000,723,58643,0.5419667363166809,2160,0.001
