time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,time/fps,train/learning_rate,train/n_updates,train/loss
152,10000,13328,1.15,0.16,0.9822293333333334,87,,,
306,20000,26632,1.36,0.47,0.9644906666666666,86,,,
460,30000,39950,1.27,0.34,0.9467333333333334,86,,,
613,40000,53334,1.37,0.53,0.9288879999999999,86,,,
768,50000,66549,1.29,0.33,0.911268,86,,,
923,60000,79888,1.49,0.71,0.8934826666666666,86,,,
1076,70000,93271,1.49,0.64,0.8756386666666667,86,,,
1231,80000,106637,1.2,0.26,0.8578173333333332,86,,,
1386,90000,120063,1.31,0.43,0.8399160000000001,86,,,
1540,100000,133296,1.37,0.47,0.8222719999999999,86,,,
1694,110000,146732,1.21,0.26,0.8043573333333334,86,,,
1849,120000,159968,1.34,0.51,0.7867093333333333,86,,,
2005,130000,173251,1.31,0.38,0.7689986666666666,86,,,
2160,140000,186429,1.38,0.55,0.751428,86,,,
2322,150000,199790,1.35,0.56,0.7336133333333335,86,,,
2478,160000,213113,1.34,0.44,0.7158493333333333,85,,,
2635,170000,226404,1.29,0.37,0.6981280000000001,85,,,
2791,180000,239801,1.29,0.38,0.6802653333333333,85,,,
2991,190000,253831,1.78,1.53,0.6615586666666666,84,0.001,957,0.30257561802864075
3329,200000,270784,1.8,1.51,0.6389546666666668,81,0.001,5195,0.6040183305740356
3684,210000,289254,2.14,2.27,0.614328,78,0.001,9813,0.4700407087802887
4065,220000,310431,2.08,2.03,0.5860920000000001,76,0.001,15107,1.2070430517196655
4453,230000,332786,2.37,2.72,0.5562853333333333,74,0.001,20696,2.6346161365509033
4852,240000,355954,2.51,3.52,0.5253946666666667,73,0.001,26488,0.7489175796508789
5266,250000,380695,2.71,3.75,0.49240666666666666,72,0.001,32673,6.39597749710083
5689,260000,406431,2.65,3.56,0.45809200000000017,71,0.001,39107,3.4559850692749023
8484,270000,433919,2.77,4.31,0.42144133333333333,51,0.001,45979,6.817458152770996
8955,280000,463055,2.9,4.72,0.38259333333333334,51,0.001,53263,12.667708396911621
11653,290000,493974,2.69,4.29,0.3413680000000001,42,0.001,60993,4.9560866355896
12181,300000,527886,3.49,6.32,0.29615199999999997,43,0.001,69471,10.508260726928711
12738,310000,564468,3.77,7.5,0.24737600000000004,44,0.001,78616,8.290617942810059
13325,320000,604165,4.21,10.14,0.19444666666666666,45,0.001,88541,3.5222654342651367
13969,330000,648536,4.85,11.89,0.13528533333333348,46,0.001,99633,37.501434326171875
14671,340000,699109,5.05,12.38,0.06785466666666662,47,0.001,112277,29.54536247253418
15461,350000,757489,6.12,17.21,0,48,0.001,126872,18.470012664794922
18317,360000,819529,6.38,18.96,0,44,0.001,142382,31.26636505126953
20278,370000,881261,6.29,18.69,0,43,0.001,157815,46.402305603027344
21100,380000,943020,5.92,16.05,0,44,0.001,173254,46.863372802734375
21927,390000,1005393,6.19,17.55,0,45,0.001,188848,55.37960433959961
22749,400000,1067408,6.18,18.01,0,46,0.001,204351,32.93021774291992
23579,410000,1129597,6.26,18.53,0,47,0.001,219899,57.019432067871094
24401,420000,1191780,6.08,17.07,0,48,0.001,235444,57.478240966796875
25192,430000,1253804,6.37,19.45,0,49,0.001,250950,34.176509857177734
25983,440000,1315832,6.27,18.41,0,50,0.001,266457,58.10582733154297
26773,450000,1377912,6.29,18.74,0,51,0.001,281977,25.478525161743164
27570,460000,1440248,5.95,16.69,0,52,0.001,297561,17.684131622314453
